restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
3.8,Tsuruya,"15, Blok, E-GATE 1 - 1, 1, Lebuh Tunku Kudin 2, 11700 Gelugor, Pulau Pinang",Japanese ,04-656 1115,"{'Friday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Saturday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Sunday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Monday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Tuesday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Wednesday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Thursday': '11:30 am to 2:30 pm, 6 to 10 pm'}",2,No
4.4,Sushi YA Jelutong,"349-01-09, Jalan Jelutong, Jelutong, 11600 Jelutong, Pulau Pinang",Japanese ,011-1062 3201,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 9:30 pm', 'Sunday': '11:30 am to 9:30 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,Yes
4.5,Hanabi Udini Square,"Block 2, Udini Square, 01-23, Lebuh Tunku Kudin 3, 11700 George Town, Pulau Pinang",Japanese ,016-238 2368,"{'Friday': '11:30 am to 10 pm', 'Saturday': '11:30 am to 10 pm', 'Sunday': '11:30 am to 10 pm', 'Monday': '11:30 am to 10 pm', 'Tuesday': '11:30 am to 10 pm', 'Wednesday': '11:30 am to 10 pm', 'Thursday': '11:30 am to 10 pm'}",2,No
4.1,Harajuku,"29-1-26, The Golden Triangle, Jln Paya Terubung, Relau, 11900 Bayan Lepas, Pulau Pinang",Japanese ,018-233 6003,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,No
4.2,KAZE Japanese Restaurant,"5-G-1,Promenade, Jalan Mahsuri, 11900 Bayan Baru, Pulau Pinang",Japanese ,04-611 8489,"{'Friday': '11 am to 2:30 pm, 6 to 10 pm', 'Saturday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Sunday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Monday': '11 am to 2:30 pm, 6 to 10 pm', 'Tuesday': '11 am to 2:30 pm, 6 to 10 pm', 'Wednesday': '11 am to 2:30 pm, 6 to 10 pm', 'Thursday': '11 am to 2:30 pm, 6 to 10 pm'}",3,No
3.9,Azuma Queensbay Mall,"L2, No. 100-2F87, Queensbay Mall, Persiaran Bayan Indah, Queens Bay, 14300 Bayan Lepas, Penang",Japanese ,04-641 3118,"{'Friday': '11 am to 9:45 pm', 'Saturday': '11 am to 9:45 pm', 'Sunday': '11 am to 9:45 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,No
4,Sushi House (All Seasons Place),"6G-1-13, All Seasons Place, Lbh Thean Teik, Bandar Baru Air Itam, 11500 George Town, Pulau Pinang",Japanese ,017-270 9657,"{'Friday': '10:30 am to 9:30 pm', 'Saturday': '10:30 am to 9:30 pm', 'Sunday': '10:30 am to 9:30 pm', 'Monday': '10:30 am to 9:30 pm', 'Tuesday': '10:30 am to 9:30 pm', 'Wednesday': '10:30 am to 9:30 pm', 'Thursday': '10:30 am to 9:30 pm'}",2,No
4.1,Sushi King Gurney Plaza,"Penang, George Town, level 2Gurney Plaza Gurney Plaza, No. 170-02-58, Persiaran Gurney, Pulau Pinang, Gurneyé‚®æ”¿ç¼–ç : 10250",Japanese ,04-227 5285,"{'Friday': '10 am to 10 pm', 'Saturday': '10 am to 10 pm', 'Sunday': '10 am to 10 pm', 'Monday': '10 am to 10 pm', 'Tuesday': '10 am to 10 pm', 'Wednesday': '10 am to 10 pm', 'Thursday': '10 am to 10 pm'}",2,Yes
4.5,Shinwa Ramen,"4k, Jalan Pantai Molek, Kampung Raya Baharu, 10250 Tanjung Tokong, Pulau Pinang",Japanese ,012-425 6995,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 9:30 pm', 'Sunday': '11:30 am to 9:30 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,No
4.3,Sim Japanese Cuisine,"1-01-22, Harmony View, Lintang Slim, Taman Desa Green, 11600 Jelutong, Pulau Pinang",Japanese ,016-406 9480,"{'Friday': '9 am to 2 pm, 5 to 8:30 pm', 'Saturday': '10 am to 2 pm, 5 to 8:30 pm', 'Sunday': '10 am to 2 pm, 5 to 8:30 pm', 'Monday': '10 am to 2 pm, 5 to 8:30 pm', 'Tuesday': '10 am to 2 pm, 5 to 8:30 pm', 'Wednesday': 'Closed', 'Thursday': '10 am to 2 pm, 5 to 8:30 pm'}",1,No
3.8,Western Cottage - Penang Hill,"31B, Jalan Air Itam, 11500 Ayer Itam, Pulau Pinang",Western ,04-826 1890,"{'Friday': '11:30 am to 11 pm', 'Saturday': '11:30 am to 11 pm', 'Sunday': '11:30 am to 11 pm', 'Monday': '11:30 am to 11 pm', 'Tuesday': '11:30 am to 11 pm', 'Wednesday': '11:30 am to 11 pm', 'Thursday': '11:30 am to 11 pm'}",2,No
4,LK Western Food,"494Q, Jalan Air Itam, Kampung Baharu, 11400 Ayer Itam, Pulau Pinang",Western ,012-585 1881,"{'Friday': '11 am to 11 pm', 'Saturday': '11 am to 11 pm', 'Sunday': '11 am to 11 pm', 'Monday': '11 am to 11 pm', 'Tuesday': '11 am to 11 pm', 'Wednesday': '11 am to 11 pm', 'Thursday': '11 am to 11 pm'}",2,No
3.8,Will Western Delight,"539, Jln Masjid Negeri, Taman Gelugur, 11600 Jelutong, Pulau Pinang",Western ,017-413 4330,"{'Friday': '5:45 to 9:45 pm', 'Saturday': '5:45 to 9:45 pm', 'Sunday': '5:45 to 9:45 pm', 'Monday': 'Closed', 'Tuesday': '5:45 to 9:45 pm', 'Wednesday': '5:45 to 9:45 pm', 'Thursday': '5:45 to 9:45 pm'}",2,No
4.5,Farmer's Market Western Cuisine Restaurant,"5-G-9, Persiaran Mahsuri, Bayan Baru, 11900 Bayan Lepas, Pulau Pinang",Western ,016-474 8047,"{'Friday': '11:30 am to 3 pm, 5 to 9 pm', 'Saturday': '11:30 am to 3 pm, 5 to 9 pm', 'Sunday': '11:30 am to 3 pm, 5 to 9 pm', 'Monday': '11:30 am to 3 pm, 5 to 9 pm', 'Tuesday': '11:30 am to 3 pm, 5 to 9 pm', 'Wednesday': '11:30 am to 3 pm, 5 to 9 pm', 'Thursday': '11:30 am to 3 pm, 5 to 9 pm'}",2,No
4.3,James Foo Western Food @Tanjung Tokong,"10-A-09 Precinct, 10, Jalan Tanjung Bungah, Tanjung Tokong, 10470 Tanjung Bungah, Penang",Western ,011-6262 8525,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 10 pm', 'Sunday': '11:30 am to 10 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,Yes
4.2,Yaw's Roast & Grill,"1, Gerbang Midlands, Pulau Tikus, 10250 George Town, Pulau Pinang",Western ,018-460 0829,"{'Friday': '5:30 to 10 pm', 'Saturday': '5:30 to 10 pm', 'Sunday': '5:30 to 10 pm', 'Monday': 'Closed', 'Tuesday': '5:30 to 10 pm', 'Wednesday': '5:30 to 10 pm', 'Thursday': '5:30 to 10 pm'}",2,No
4.2,What The Duck Restaurant Spice Canopy Bayan Lepas,"Setia SPICE Canopy, L01-15&16, 108, Jalan Tun Dr Awang, 11900 Bayan Lepas, Pulau Pinang",Western ,04-638 6084,"{'Friday': '11:30 am to 3 pm, 6 to 9:30 pm', 'Saturday': '11:30 am to 3 pm, 6 to 9:30 pm', 'Sunday': '11:30 am to 3 pm, 6 to 9:30 pm', 'Monday': 'Closed', 'Tuesday': '11:30 am to 3 pm, 6 to 9:30 pm', 'Wednesday': '11:30 am to 3 pm, 6 to 9:30 pm', 'Thursday': '11:30 am to 3 pm, 6 to 9:30 pm'}",2,No
4.3,OLIVIA'S RESTAURANT,"17A, Medan Batu Lanchang, Taman Sri Damai, 11600 Jelutong, Pulau Pinang",Western ,017-665 5166,"{'Friday': '11 am to 3:30 pm, 4:30 to 9 pm', 'Saturday': '11 am to 3:30 pm, 4:30 to 9 pm', 'Sunday': '11 am to 3:30 pm, 4:30 to 9 pm', 'Monday': 'Closed', 'Tuesday': '11 am to 3:30 pm, 4:30 to 9 pm', 'Wednesday': '11 am to 3:30 pm, 4:30 to 9 pm', 'Thursday': '11 am to 3:30 pm, 4:30 to 9 pm'}",2,No
4.1,Green Island Western Food ( Halal ),"2-1-8, Tingkat Mahsuri 4, Bayan Baru, 11950 Bayan Lepas, Penang",Western ,018-622 6863,"{'Friday': '11:30 am to 3 pm, 5:30 to 10:30 pm', 'Saturday': '11:30 am to 10:30 pm', 'Sunday': '11:30 am to 10:30 pm', 'Monday': '11:30 am to 3 pm, 5:30 to 10:30 pm', 'Tuesday': '11:30 am to 3 pm, 5:30 to 10:30 pm', 'Wednesday': '11:30 am to 3 pm, 5:30 to 10:30 pm', 'Thursday': '11:30 am to 3 pm, 5:30 to 10:30 pm'}",2,Yes
4.5,Let's Meat | American Restaurant | American Food | American Breakfast,"18, Lebuh Lembah Permai 4, Tanjung Tokong, 11200 Tanjung Bungah, Pulau Pinang",Western ,016-215 4234,"{'Friday': '8 am to 9 pm', 'Saturday': '8 am to 9 pm', 'Sunday': 'Closed', 'Monday': '8 am to 9 pm', 'Tuesday': '8 am to 9 pm', 'Wednesday': '8 am to 9 pm', 'Thursday': '8 am to 9 pm'}",2,No
4.2,Healy Mac's Irish Bar & Restaurant - Penang,"3A-G9 & 10, Straits Quay, Lorong Seri Tanjung Pinang, Seri Tanjung Pinang, 10470 Tanjung Tokong, Pulau Pinang",Irish ,04-890 3477,"{'Friday': '11 am to 1 am', 'Saturday': '11 am to 1 am', 'Sunday': '10 am to 12 am', 'Monday': '11 am to 12:30 am', 'Tuesday': '11 am to 12:30 am', 'Wednesday': '11 am to 12:30 am', 'Thursday': '11 am to 12:30 am'}",3,No
4,Berlin Bier Houz,"G-1-1, Lorong Bayan Indah 1, Bay Avenue, 11900 Bayan Lepas, Pulau Pinang",German ,011-7019 1438,"{'Friday': '3 pm to 12 am', 'Saturday': '3 pm to 12 am', 'Sunday': 'Closed', 'Monday': '3 to 11:30 pm', 'Tuesday': '3 to 11:30 pm', 'Wednesday': '3 to 11:30 pm', 'Thursday': '3 to 11:30 pm'}",3,No
4.2,Ingolf's Kneipe German Restaurant And Bar,"1, Jalan Sungai Kelian, Tanjung Tokong, 11200 Tanjung Bungah, Pulau Pinang",German ,04-899 5796,"{'Friday': '12 to 2 pm, 6 to 10 pm', 'Saturday': '12 to 2 pm, 6 to 10 pm', 'Sunday': 'Closed', 'Monday': '6 to 10 pm', 'Tuesday': '12 to 2 pm, 6 to 10 pm', 'Wednesday': '12 to 2 pm, 6 to 10 pm', 'Thursday': '12 to 2 pm, 6 to 10 pm'}",2,No
4.7,Gravybaby (Chulia),"391, Chulia St, Georgetown, 10200 George Town, Penang",Western ,017-506 3860,"{'Friday': '8 am to 2 am', 'Saturday': '8 am to 2 am', 'Sunday': '8 am to 2 am', 'Monday': '8 am to 2 am', 'Tuesday': '8 am to 2 am', 'Wednesday': '8 am to 2 am', 'Thursday': '8 am to 2 am'}",2,No
4.5,Woodfire Penang,"20C, Jalan Bagan Jermal, 10250 George Town, Pulau Pinang",Western ,017-408 8084,"{'Friday': '3:30 to 10 pm', 'Saturday': '12 to 10 pm', 'Sunday': '12 to 10 pm', 'Monday': '12 to 10 pm', 'Tuesday': '12 to 10 pm', 'Wednesday': '12 to 10 pm', 'Thursday': '12 to 10 pm'}",2,Yes
4.4,Mr Fatty Burger,"Block 5, 1, Jalan Van Praagh, Taman Koperasi Jelutong, 11600 Jelutong, Penang",Western ,011-1303 9288,"{'Friday': '10:30 am to 10:30 pm', 'Saturday': '10:30 am to 10:30 pm', 'Sunday': '10:30 am to 10:30 pm', 'Monday': '10:30 am to 10:30 pm', 'Tuesday': 'Closed', 'Wednesday': '10:30 am to 10:30 pm', 'Thursday': '10:30 am to 10:30 pm'}",1,No
4.3,Harvest In Café,"10, Jalan Irrawaddi, George Town, 10050 George Town, Pulau Pinang",Western ,04-226 1718,"{'Friday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Saturday': '11 am to 3 pm, 5:30 to 10 pm', 'Sunday': 'Closed', 'Monday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Tuesday': '11 am to 2:30 pm', 'Wednesday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Thursday': '11 am to 2:30 pm, 5:30 to 10 pm'}",2,No
4,Classics by Rain Garden,"41, Jalan Burma, George Town, 10350 George Town, Pulau Pinang",Western ,012-215 1725,"{'Friday': '9 am to 11 pm', 'Saturday': '9 am to 11 pm', 'Sunday': '9 am to 11 pm', 'Monday': '9 am to 11 pm', 'Tuesday': '9 am to 11 pm', 'Wednesday': '9 am to 11 pm', 'Thursday': '9 am to 11 pm'}",2,No
4.7,Me'nate Penang,"20, Jln Sultan Ahmad Shah, George Town, 10050 George Town, Pulau Pinang",Western ,04-227 7201,"{'Friday': '11 am to 12:30 pm, 2:30 pm to 12 am', 'Saturday': '11 am to 12 am', 'Sunday': '11 am to 12 am', 'Monday': '11 am to 11 pm', 'Tuesday': '11 am to 11 pm', 'Wednesday': '11 am to 11 pm', 'Thursday': '11 am to 11 pm'}",2,Yes
4.4,Bottega Penang,"76, Muntri St, Georgetown, 10200 George Town, Penang",Italian ,017-747 7902,"{'Friday': '11 am to 11 pm', 'Saturday': '11 am to 11 pm', 'Sunday': '11 am to 11 pm', 'Monday': '11 am to 11 pm', 'Tuesday': '11 am to 11 pm', 'Wednesday': '11 am to 11 pm', 'Thursday': '11 am to 11 pm'}",2,No
4.6,OTTO PIZZA PENANG,"199, Victoria St, Georgetown, 10300 George Town, Penang",Italian ,013-429 5391,"{'Friday': '11:30 am to 11 pm', 'Saturday': '11:30 am to 11 pm', 'Sunday': '11:30 am to 11 pm', 'Monday': '11:30 am to 10:30 pm', 'Tuesday': '11:30 am to 10:30 pm', 'Wednesday': '11:30 am to 10:30 pm', 'Thursday': '11:30 am to 10:30 pm'}",2,No
4.4,Il Bacaro,"Campbell House, 106, Lebuh Campbell, Georgetown, 10200 George Town, Penang",Italian ,04-261 8290,"{'Friday': '12 to 10:30 pm', 'Saturday': '12 to 10:30 pm', 'Sunday': '12 to 10:30 pm', 'Monday': '12 to 10:30 pm', 'Tuesday': '12 to 10:30 pm', 'Wednesday': '12 to 10:30 pm', 'Thursday': '12 to 10:30 pm'}",2,No
4.5,Nero Nero - Penang,"4, King Street, George Town, 10200 George Town, Pulau Pinang",Italian ,012-207 0794,"{'Friday': '12 to 3 pm, 6 to 10 pm', 'Saturday': '12 to 3 pm, 6 to 10 pm', 'Sunday': '12 to 3 pm, 6 to 10 pm', 'Monday': '12 to 3 pm, 6 to 10 pm', 'Tuesday': '12 to 3 pm, 6 to 10 pm', 'Wednesday': '12 to 3 pm, 6 to 10 pm', 'Thursday': '12 to 3 pm, 6 to 10 pm'}",2,No
4.4,The Loft - Love Lane,"57, Love Ln, Georgetown, 10200 George Town, Penang",Italian ,017-586 5755,"{'Friday': '11:30 am to 11:30 pm', 'Saturday': '11:30 am to 11:30 pm', 'Sunday': '11:30 am to 11:30 pm', 'Monday': '11:30 am to 11:30 pm', 'Tuesday': '11:30 am to 11:30 pm', 'Wednesday': '11:30 am to 11:30 pm', 'Thursday': '11:30 am to 11:30 pm'}",2,Yes
4.5,Lunarich Malaysia Pizza & Pasta,"Festive Square, Gurney Paragon Lot 2.33, level 2, 10250 George Town, Penang",Italian ,016-953 6055,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 9 pm', 'Tuesday': '11 am to 9 pm', 'Wednesday': '11 am to 9 pm', 'Thursday': '11 am to 9 pm'}",2,No
4.2,Elmondo Italian & Western Restaurant Penang,"1-1-38, Elit Avenue, Lintang Mayang Pasir 3, Bayan Baru, 11950 Bayan Lepas, Pulau Pinang",Italian ,010-282 4657,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,Yes
4.4,Acupaday,"ISantorini 8-G-11, Jalan, 1, Jln Tanjong Tokong, Seri Tanjung Pinang, 10470 George Town, Pulau Pinang",Italian ,017-945 9004,"{'Friday': '8 am to 9 pm', 'Saturday': '8 am to 9 pm', 'Sunday': '8 am to 9 pm', 'Monday': '8 am to 9 pm', 'Tuesday': '8 am to 9 pm', 'Wednesday': '8 am to 9 pm', 'Thursday': '8 am to 9 pm'}",2,No
4.3,Pizza Station,"Lot G-2, Sunshine Farlim, 294, Jln Thean Tek, Bandar Baru Air Itam, 11500 Ayer Itam, Pulau Pinang",Italian ,016-486 6168,"{'Friday': '10:45 am to 9:30 pm', 'Saturday': '10:45 am to 9:30 pm', 'Sunday': '10:45 am to 9:30 pm', 'Monday': '10:45 am to 9:30 pm', 'Tuesday': '10:45 am to 9:30 pm', 'Wednesday': '10:45 am to 9:30 pm', 'Thursday': '10:45 am to 9:30 pm'}",2,No
4.7,Rossi Italian,"Hotel Penaga 38 Lebuh, Lebuh Clarke, 10050 George Town, Pulau Pinang",Italian ,010-284 6995,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,No
4,Pizzaiola,"33-SB-03, Jalan Dr Lim Chwee Leong, 10100 George Town, Pulau Pinang",Italian ,04-250 5501,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,No
4.5,La Vista Kitchen & Bar,"70-1-74 & 70-1-75 D'Piazza Mall, Bayan Baru, 11950 Bayan Lepas, Pulau Pinang",Italian ,011-3601 5929,"{'Friday': '7:30 am to 2 am', 'Saturday': '7:30 am to 2 am', 'Sunday': '7:30 am to 2 am', 'Monday': '7:30 am to 2 am', 'Tuesday': '7:30 am to 2 am', 'Wednesday': '7:30 am to 2 am', 'Thursday': '7:30 am to 2 am'}",1,No
4.3,CUEVA,"G7, Gurney Walk, 18, Persiaran Gurney, 10250 George Town, Pulau Pinang",Italian ,011-8888 0079,"{'Friday': '12 to 4 pm, 6 to 11 pm', 'Saturday': '12 to 4 pm, 6 to 11 pm', 'Sunday': '12 to 4 pm, 6 to 11 pm', 'Monday': '12 to 4 pm, 6 to 11 pm', 'Tuesday': '12 to 4 pm, 6 to 11 pm', 'Wednesday': '12 to 4 pm, 6 to 11 pm', 'Thursday': '12 to 4 pm, 6 to 11 pm'}",2,No
4.5,Via Pre Penang Italian Restaurants,"20e, Lebuh Penang, George Town, 10300 George Town, Pulau Pinang",Italian ,04-261 9800,"{'Friday': '11:30 am to 10:45 pm', 'Saturday': '11:30 am to 10:45 pm', 'Sunday': '12 to 10 pm', 'Monday': '11:30 am to 10:30 pm', 'Tuesday': 'Closed', 'Wednesday': '11:30 am to 10:30 pm', 'Thursday': '11:30 am to 10:30 pm'}",3,No
4.4,Soul Restaurant & Bar,"10 & 12, Jalan Kek Chuan, 10400 George Town, Pulau Pinang",Western ,04-226 8200,"{'Friday': '12 to 11 pm', 'Saturday': '12 to 11 pm', 'Sunday': '12 to 11 pm', 'Monday': '6 to 11 pm', 'Tuesday': '6 to 11 pm', 'Wednesday': 'Closed', 'Thursday': '6 to 11 pm'}",2,No
4.8,Beach St Bistrot by David & Brian Chin,"240, Lebuh Pantai, George Town, 10300 George Town, Pulau Pinang",French ,018-208 8171,"{'Friday': '12 to 4 pm, 6 to 11 pm', 'Saturday': '12 to 4 pm, 6 to 11 pm', 'Sunday': '12 to 4 pm, 6 to 11 pm', 'Monday': '12 to 4 pm, 6 to 11 pm', 'Tuesday': 'Closed', 'Wednesday': '12 to 4 pm, 6 to 11 pm', 'Thursday': '12 to 4 pm, 6 to 11 pm'}",2,No
4.5,Park's Recipe Korean Restaurant,"381a, Jln Perak, Jelutong, 11600 George Town, Pulau Pinang",Korean ,011-1683 3301,"{'Friday': '11 am to 3 pm, 5 to 9:15 pm', 'Saturday': '11 am to 3 pm, 5 to 9:15 pm', 'Sunday': '11 am to 3 pm, 5 to 9:15 pm', 'Monday': '11 am to 3 pm, 5 to 9:15 pm', 'Tuesday': '11 am to 3 pm, 5 to 9:15 pm', 'Wednesday': '11 am to 3 pm, 5 to 9:15 pm', 'Thursday': '11 am to 3 pm, 5 to 9:15 pm'}",2,No
4.1,Cho Dong Jib,"163D-1-05,Gurney Paragon Mall, Gurney Dr, 10250 George Town, Penang",Korean ,04-371 3017,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 9:30 pm', 'Sunday': '11:30 am to 9:30 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,No
